City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
281,port mathurin,-19.6833,63.4167,23.2,74,0,4.16,MU,1697141605
282,rasony,55.9089,28.8126,8.91,80,43,5.88,BY,1697141605
283,severo-yeniseyskiy,60.3725,93.0408,3.65,91,100,6.26,RU,1697141605
284,koubia,11.5833,-11.9,19.81,94,92,0.87,GN,1697141605
285,kupang,-10.1667,123.5833,26.32,78,75,4.12,ID,1697141605
286,lompoc,34.6391,-120.4579,29.32,52,0,4.12,US,1697141605
287,ilagan,17.1485,121.8892,23.19,95,65,1.04,PH,1697141605
288,macau,22.2006,113.5461,25.85,73,20,7.2,MO,1697141605
289,powder springs,33.8596,-84.6838,21.57,74,75,5.14,US,1697141605
290,koryazhma,61.3143,47.1691,5.51,90,98,5.31,RU,1697141352
291,balabac,7.9868,117.0645,26.94,81,36,2.99,PH,1697141606
292,kimbe,-5.5502,150.1429,24.81,88,79,1.23,PG,1697141606
293,barra do corda,-5.5,-45.25,33.09,38,69,3.13,BR,1697141606
294,marquette,46.5333,-87.6335,9.9,73,71,2.24,US,1697141606
295,grants,35.1473,-107.8514,16.13,12,0,9.26,US,1697141512
296,jayapura,-2.5333,140.7,24.66,91,77,2.14,ID,1697141606
297,port saint john's,-31.6229,29.5448,16.83,82,55,3.43,ZA,1697141606
298,glubokoye,50.1456,82.3114,10.4,87,100,2.55,KZ,1697141606
299,hadibu,12.65,54.0333,27.2,81,50,2.48,YE,1697141606
300,sinabang,2.4803,96.3801,25.39,86,100,1.21,ID,1697141606
301,neresheim,48.7551,10.3304,18.31,67,100,1.53,DE,1697141606
302,antalaha,-14.9003,50.2788,20.19,90,45,1.73,MG,1697141607
303,skagen,57.7209,10.5839,11.81,64,52,12.84,DK,1697141607
304,yulinshi,38.2906,109.7494,12.0,39,89,3.03,CN,1697141607
305,rabaul,-4.1967,152.1721,26.33,81,33,2.05,PG,1697141607
306,brezina,33.0989,1.2608,21.24,29,0,3.0,DZ,1697141607
307,carauari,-4.8828,-66.8958,32.04,51,87,1.48,BR,1697141607
308,valle de la pascua,9.2155,-66.0073,31.3,55,100,1.61,VE,1697141607
309,nova xavantina,-14.6667,-52.35,36.69,29,28,4.1,BR,1697141607
310,mahajanga,-15.7167,46.3167,25.86,81,22,1.81,MG,1697141607
311,horta,38.5333,-28.6333,20.01,80,20,4.63,PT,1697141343
312,la ronge,55.1001,-105.2842,10.14,71,75,3.6,CA,1697141607
313,selfoss,63.9331,-20.9971,2.14,80,100,6.69,IS,1697141608
314,monteagudo,-19.8167,-63.9833,26.63,39,100,4.11,BO,1697141608
315,isabela,6.7085,121.9711,25.86,84,18,1.27,PH,1697141608
316,forster,-32.1667,152.5167,15.72,46,0,5.56,AU,1697141608
317,chulakkurgan,43.765,69.1814,8.28,91,100,1.66,KZ,1697141608
318,zhob,31.3411,69.4481,19.56,19,0,0.87,PK,1697141608
319,floro,61.5996,5.0328,8.98,71,100,8.75,NO,1697141608
320,ammapettai,10.8,79.3333,25.84,86,100,1.84,IN,1697141608
321,sao lourenco da mata,-8.0022,-35.0183,26.69,78,75,5.14,BR,1697141608
322,cartagena del chaira,1.3349,-74.8429,33.63,45,100,1.37,CO,1697141346
323,aykhal,66.0,111.5,-4.41,78,57,4.92,RU,1697141608
324,queenstown,-31.8976,26.8753,10.74,77,0,1.7,ZA,1697141609
325,sechura,-5.5569,-80.8222,26.24,59,80,6.32,PE,1697141609
326,tokar,18.4254,37.729,29.52,74,1,4.59,SD,1697141609
327,sepolno krajenskie,53.452,17.5317,8.19,73,61,3.09,PL,1697141609
328,fatehpur chaurasi,26.7833,80.2667,23.82,41,0,1.35,IN,1697141609
329,puerto baquerizo moreno,-0.9,-89.6,27.55,69,40,5.14,EC,1697141609
330,vadso,70.0744,29.7487,4.49,87,75,7.72,NO,1697141609
331,tomatlan,19.9333,-105.25,30.48,62,12,3.5,MX,1697141609
332,sibay,52.7181,58.6658,4.56,57,83,5.36,RU,1697141610
333,kudahuvadhoo,2.6708,72.8944,27.99,70,94,4.67,MV,1697141610
334,praia da vitoria,38.7333,-27.0667,20.42,83,20,3.56,PT,1697141610
335,corinto,37.9407,22.9573,18.16,58,0,0.82,GR,1697141610
